date,indeed,google,facebook,linkedin,jobworld,xing,stepstone,monster
2017-02-13,52,144,70,4,14,47,7,0
2017-02-14,52,139,73,0,16,42,7,0
2017-02-15,54,135,76,0,12,39,7,2
2017-02-16,58,137,73,1,9,42,7,0
2017-02-17,55,138,70,6,5,37,8,3
2017-02-18,60,142,66,7,3,35,7,1
2017-02-19,56,144,70,7,4,31,7,4
2017-02-20,55,141,67,10,8,32,6,7
2017-02-21,56,144,64,6,12,33,7,3
2017-02-22,52,148,62,3,14,35,7,8
2017-02-23,51,147,58,4,14,32,7,13
2017-02-24,47,144,58,2,12,35,8,11
2017-02-25,51,140,59,6,17,35,8,11
2017-02-26,49,145,55,10,14,38,8,15
2017-02-27,44,142,58,12,11,34,7,15
2017-02-28,48,139,63,9,8,34,8,17
2017-03-01,53,142,59,5,4,32,8,22
2017-03-02,53,139,61,7,0,29,9,20
2017-03-03,48,138,56,8,5,26,9,19
2017-03-04,52,143,61,8,0,23,9,23
2017-03-05,52,144,61,7,4,27,10,25
2017-03-06,47,145,63,2,8,28,9,24
2017-03-07,46,143,64,2,11,33,9,26
2017-03-08,50,139,63,0,9,38,8,25
2017-03-09,47,136,67,4,9,38,7,28
2017-03-10,49,136,72,2,5,38,8,30
2017-03-11,50,136,74,3,7,34,8,28
2017-03-12,53,133,73,8,5,35,8,29
2017-03-13,52,135,73,4,1,35,7,29
2017-03-14,52,135,78,6,0,39,6,27
2017-03-15,53,139,79,2,0,37,6,30
2017-03-16,52,137,77,0,0,33,6,32
2017-03-17,47,142,75,0,0,37,6,33
2017-03-18,44,144,80,2,4,36,6,36
2017-03-19,40,149,83,5,0,33,5,38
2017-03-20,38,150,81,6,0,30,4,36
2017-03-21,33,154,84,1,5,34,4,37
2017-03-22,33,150,87,0,3,33,3,34
2017-03-23,29,153,87,0,3,34,3,37
2017-03-24,26,156,91,0,4,34,4,38
2017-03-25,24,158,90,2,0,30,4,37
2017-03-26,26,156,93,2,4,26,4,33
2017-03-27,22,151,95,4,7,24,5,31
2017-03-28,23,148,99,6,8,26,4,34
2017-03-29,25,147,99,7,5,24,3,38
2017-03-30,28,145,102,5,8,24,3,33
2017-03-31,31,148,104,4,6,24,2,28
2017-04-01,27,144,102,3,4,25,1,30
2017-04-02,29,148,100,5,9,22,1,32
2017-04-03,33,152,95,2,5,23,1,34
2017-04-04,34,154,96,4,5,18,1,35
2017-04-05,31,156,93,8,10,19,0,34
2017-04-06,34,151,94,11,8,22,0,31
2017-04-07,33,151,90,16,3,21,0,29
2017-04-08,31,154,91,14,1,25,0,33
2017-04-09,30,153,92,10,2,28,0,33
2017-04-10,32,155,95,14,0,32,0,38
2017-04-11,33,158,94,16,2,36,0,36
2017-04-12,31,159,91,18,6,36,0,36
2017-04-13,35,160,86,20,8,37,0,39
2017-04-14,31,164,84,18,12,34,0,41
2017-04-15,27,164,81,16,11,34,0,40
2017-04-16,28,161,79,18,10,32,0,38
2017-04-17,29,162,79,14,8,30,0,43
2017-04-18,28,166,78,10,5,27,0,46
2017-04-19,29,166,73,6,4,24,1,51
2017-04-20,28,166,74,11,3,23,1,55
2017-04-21,28,163,73,9,3,22,0,55
2017-04-22,25,159,73,12,3,20,0,56
2017-04-23,26,161,70,10,3,17,0,52
2017-04-24,22,161,73,10,0,16,1,53
2017-04-25,19,164,76,11,0,19,2,52
2017-04-26,19,167,81,8,4,23,1,47
2017-04-27,16,170,85,5,8,27,2,50
2017-04-28,13,173,85,4,7,31,2,46
2017-04-29,8,177,81,7,9,35,2,50
2017-04-30,5,175,85,11,5,32,3,47
2017-05-01,6,175,83,11,2,29,4,50
2017-05-02,5,172,82,8,0,33,4,46
2017-05-03,8,167,84,10,0,30,3,42
2017-05-04,6,172,80,13,0,29,3,45
2017-05-05,11,167,76,13,0,30,4,43
2017-05-06,9,168,79,14,5,26,3,46
2017-05-07,7,166,75,14,4,29,4,44
2017-05-08,10,165,76,13,6,27,4,39
2017-05-09,9,163,81,18,5,22,5,38
2017-05-10,8,162,77,21,4,21,6,39
2017-05-11,13,166,73,22,9,18,6,43
2017-05-12,12,168,72,23,10,15,6,46
2017-05-13,14,172,73,21,12,18,6,44
2017-05-14,15,177,73,20,13,14,6,48
2017-05-15,14,178,73,24,17,18,6,44
2017-05-16,17,173,75,24,18,18,5,47
2017-05-17,18,174,79,24,21,17,6,49
2017-05-18,22,171,75,22,21,16,7,46
2017-05-19,26,167,70,20,16,19,7,48
2017-05-20,29,169,75,19,20,19,8,46
2017-05-21,33,165,73,22,20,19,8,45
2017-05-22,36,167,76,20,20,22,7,44
2017-05-23,36,164,79,24,25,20,7,41
2017-05-24,36,167,78,28,29,20,6,36
2017-05-25,38,166,79,28,24,18,7,38
2017-05-26,43,168,76,25,23,20,6,34
2017-05-27,45,167,74,23,23,16,6,35
2017-05-28,47,163,79,24,21,16,7,38
2017-05-29,46,167,80,26,16,19,7,33
2017-05-30,47,163,75,25,12,23,6,29
2017-05-31,44,162,75,22,15,24,5,31
2017-06-01,41,158,74,25,17,24,4,31
2017-06-02,41,163,75,28,17,21,3,35
2017-06-03,38,162,72,30,20,19,4,38
2017-06-04,34,165,75,29,17,15,5,43
2017-06-05,32,164,78,29,21,18,4,40
2017-06-06,35,160,79,30,20,18,3,40
2017-06-07,37,160,75,35,17,13,3,38
2017-06-08,33,159,79,39,17,15,2,38
2017-06-09,33,159,79,41,19,20,2,36
2017-06-10,38,157,76,44,15,25,2,39
2017-06-11,39,154,72,45,12,20,1,38
2017-06-12,38,156,73,40,16,15,1,38
2017-06-13,33,151,73,43,12,14,1,35
2017-06-14,31,148,68,48,12,17,0,32
2017-06-15,30,144,65,44,17,20,0,28
2017-06-16,33,140,65,42,17,22,0,26
2017-06-17,34,142,61,41,18,21,0,22
2017-06-18,34,140,61,43,18,24,0,26
2017-06-19,29,138,64,42,19,19,0,28
2017-06-20,25,136,66,40,17,18,1,31
2017-06-21,21,132,64,39,18,17,2,29
2017-06-22,26,132,68,40,18,16,2,24
2017-06-23,29,129,70,37,18,14,1,26
2017-06-24,32,124,67,37,13,9,1,29
2017-06-25,27,121,63,35,12,10,1,25
2017-06-26,26,121,59,39,15,7,2,25
2017-06-27,29,125,59,35,19,7,2,29
2017-06-28,27,123,59,30,18,3,1,32
2017-06-29,29,125,55,30,13,1,2,34
2017-06-30,28,125,56,27,12,0,3,38
2017-07-01,28,125,53,32,8,2,2,36
2017-07-02,27,126,57,27,7,4,3,34
2017-07-03,30,128,52,22,11,6,2,31
2017-07-04,28,133,51,24,10,3,2,31
2017-07-05,24,128,54,25,5,2,2,33
2017-07-06,23,127,56,25,6,6,3,36
2017-07-07,24,124,56,21,11,2,2,33
2017-07-08,26,126,60,21,7,0,3,36
2017-07-09,26,123,60,25,11,0,3,36
2017-07-10,28,127,64,25,11,0,2,32
2017-07-11,33,130,66,26,15,1,3,32
2017-07-12,33,132,71,29,19,3,3,36
2017-07-13,30,134,69,25,23,0,3,36
2017-07-14,33,132,69,27,22,5,2,39
2017-07-15,33,130,70,32,26,5,3,39
2017-07-16,30,127,70,29,30,4,3,43
2017-07-17,27,131,73,32,33,8,4,40
2017-07-18,24,133,69,32,30,11,5,39
2017-07-19,26,138,66,31,26,14,5,35
2017-07-20,24,135,70,26,25,15,5,36
2017-07-21,28,131,66,26,21,13,5,34
2017-07-22,24,136,62,24,24,16,5,32
2017-07-23,22,131,59,27,21,21,4,36
2017-07-24,26,128,57,26,20,24,5,39
2017-07-25,27,124,61,28,22,27,5,36
2017-07-26,23,123,65,30,24,27,5,41
2017-07-27,20,127,60,26,28,30,4,38
2017-07-28,23,129,60,24,29,29,5,40
2017-07-29,19,132,56,23,34,31,5,37
2017-07-30,22,134,59,21,34,32,5,41
2017-07-31,25,132,58,18,36,37,5,37
2017-08-01,26,137,54,18,41,40,6,41
2017-08-02,25,135,57,15,45,36,7,43
2017-08-03,22,134,59,11,41,32,8,43
2017-08-04,23,131,59,14,39,29,8,46
2017-08-05,23,135,56,17,41,28,7,50
2017-08-06,20,139,36,22,41,23,8,48
2017-08-07,19,138,36,20,41,24,8,45
2017-08-08,16,140,16,22,39,28,7,40
2017-08-09,11,139,6,22,35,28,6,42
2017-08-10,8,142,6,25,39,27,6,42
2017-08-11,10,138,5,23,38,27,6,41
2017-08-12,13,141,0,22,42,23,6,44
2017-08-13,15,142,3,18,44,24,6,40
2017-08-14,16,145,5,16,48,20,7,42
2017-08-15,13,146,6,20,52,20,7,41
2017-08-16,13,148,9,15,50,17,7,40
2017-08-17,18,149,10,19,51,22,7,37
2017-08-18,38,145,7,16,53,24,6,39
2017-08-19,34,149,7,17,52,25,5,36
2017-08-20,34,149,4,16,50,28,5,37
2017-08-21,37,147,3,12,48,25,5,41
2017-08-22,34,151,4,14,48,29,6,36
2017-08-23,36,155,5,10,51,29,6,33
2017-08-24,36,160,6,5,49,24,5,29
2017-08-25,35,158,6,5,49,19,4,32
2017-08-26,32,154,8,1,45,17,5,35
2017-08-27,34,158,4,0,47,17,5,37
2017-08-28,37,154,4,0,49,18,6,41
2017-08-29,40,152,0,3,47,14,7,44
2017-08-30,35,147,0,0,46,17,8,40
2017-08-31,31,152,0,2,44,17,8,42
